no;date;temp;light;comment
400;04.29.19 04:30:01PM;16,808;10,8;
401;04.29.19 06:30:01PM;15,76;0;
402;04.29.19 07:27:32PM;;;
403;04.29.19 07:28:01PM;;;Protokolliert
404;04.29.19 08:30:01PM;15,664;0;
405;04.29.19 10:30:01PM;15,664;0;
406;04.30.19 12:30:01AM;15,664;0;
407;04.30.19 02:30:01AM;15,664;0;
408;04.30.19 04:30:01AM;15,569;0;
409;04.30.19 06:30:01AM;15,569;0;
410;04.30.19 07:56:34AM;;;
411;04.30.19 07:56:35AM;;;
412;04.30.19 07:57:00AM;;;Protokolliert
413;04.30.19 08:30:01AM;15,664;0;
414;04.30.19 10:30:01AM;15,664;10,8;
415;04.30.19 12:30:01PM;15,855;43,1;
416;04.30.19 02:30:01PM;15,855;10,8;
417;04.30.19 04:30:01PM;15,855;10,8;
418;04.30.19 06:30:01PM;15,855;21,5;
419;04.30.19 07:44:27PM;;;
420;04.30.19 07:44:46PM;;;Protokolliert
421;04.30.19 08:30:01PM;15,664;0;
422;04.30.19 10:30:01PM;15,473;0;
423;05.01.19 12:30:01AM;15,378;0;
424;05.01.19 02:30:01AM;15,282;0;
425;05.01.19 04:30:01AM;15,187;0;
426;05.01.19 06:30:01AM;15,091;64,6;
427;05.01.19 08:30:01AM;14,996;344,4;
428;05.01.19 09:42:07AM;;;
429;05.01.19 09:42:28AM;;;Protokolliert
430;05.01.19 10:30:01AM;15,569;43,1;
431;05.01.19 12:30:01PM;15,951;32,3;
432;05.01.19 02:30:01PM;15,855;10,8;
433;05.01.19 04:30:01PM;15,664;0;
434;05.01.19 05:44:57PM;;;
435;05.01.19 05:45:13PM;;;Protokolliert
436;05.01.19 06:30:01PM;15,664;0;
437;05.01.19 08:30:01PM;15,76;0;
438;05.01.19 10:30:01PM;15,664;0;
439;05.02.19 12:30:01AM;15,569;0;
440;05.02.19 02:30:01AM;15,569;0;
441;05.02.19 04:30:01AM;15,473;0;
442;05.02.19 06:30:01AM;15,473;0;
443;05.02.19 08:30:01AM;15,473;21,5;
444;05.02.19 10:30:01AM;15,473;32,3;
445;05.02.19 11:59:40AM;;;
446;05.02.19 12:00:01PM;;;Protokolliert
447;05.02.19 12:30:01PM;17,189;150,7;
448;05.02.19 02:30:01PM;16,332;322,9;
449;05.02.19 04:30:01PM;16,427;129,2;
450;05.02.19 06:00:55PM;;;
451;05.02.19 06:00:56PM;;;
452;05.02.19 06:01:18PM;;;Protokolliert
453;05.02.19 06:30:01PM;16,523;0;
454;05.02.19 08:30:01PM;16,332;0;
455;05.02.19 10:30:01PM;16,141;0;
456;05.03.19 12:30:01AM;16,046;0;
457;05.03.19 02:30:01AM;15,951;0;
458;05.03.19 04:30:01AM;15,76;0;
459;05.03.19 06:30:01AM;15,664;0;
460;05.03.19 08:30:01AM;15,473;32,3;
461;05.03.19 09:43:41AM;;;
462;05.03.19 09:43:42AM;;;
463;05.03.19 09:44:09AM;;;Protokolliert
464;05.03.19 10:30:01AM;15,951;43,1;
465;05.03.19 12:30:01PM;16,237;10,8;
466;05.03.19 02:30:01PM;16,141;0;
467;05.03.19 04:30:01PM;16,332;0;
468;05.03.19 05:00:42PM;;;
469;05.03.19 05:01:02PM;;;Protokolliert
470;05.03.19 06:30:01PM;16,237;0;
471;05.03.19 07:39:53PM;;;
472;05.03.19 07:39:54PM;;;
473;05.03.19 07:40:15PM;;;Protokolliert
474;05.03.19 08:30:01PM;16,046;0;
475;05.03.19 10:30:01PM;15,951;0;
476;05.04.19 12:30:01AM;15,855;0;
477;05.04.19 02:30:01AM;15,76;0;
478;05.04.19 04:30:01AM;15,664;0;
479;05.04.19 06:30:01AM;15,569;0;
480;05.04.19 08:30:01AM;15,378;75,3;
481;05.04.19 09:44:44AM;;;
482;05.04.19 09:45:05AM;;;Protokolliert
483;05.04.19 10:30:01AM;15,569;53,8;
